"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.10.2016","552,27","551,33","556,82","547,68","","0,17%"
"01.09.2016","551,33","550,98","556,13","549,70","","0,06%"
"01.08.2016","550,98","547,81","554,91","546,47","","0,58%"
"01.07.2016","547,81","546,67","552,35","544,98","","0,21%"
"01.06.2016","546,67","537,25","550,95","534,88","","1,53%"
"01.05.2016","538,41","536,00","541,51","534,05","","0,27%"
"01.04.2016","536,96","534,58","541,16","533,55","","0,45%"
"01.03.2016","534,58","534,67","540,53","533,38","","-0,01%"
"01.02.2016","534,61","536,29","540,03","534,04","","-0,31%"
"01.01.2016","536,29","537,30","539,99","533,70","","-0,19%"
"01.12.2015","537,30","531,05","538,76","525,65","","1,18%"
"01.11.2015","531,05","532,98","538,51","527,70","","-0,50%"
"01.10.2015","533,70","534,95","538,85","532,87","","-0,23%"
"01.09.2015","534,95","534,00","541,22","529,00","","0,18%"
"01.08.2015","534,00","533,40","538,88","532,22","","0,11%"
"01.07.2015","533,40","533,70","540,75","533,11","","-0,06%"
"01.06.2015","533,70","531,40","547,51","531,35","","0,43%"
"01.05.2015","531,40","532,24","535,67","531,10","","-0,13%"
"01.04.2015","532,08","534,80","544,38","530,05","","-0,51%"
"01.03.2015","534,80","537,00","548,25","532,17","","-0,41%"
